Season,#,Title,Directed,Written,Airdate,Description
1,1,"""The Gang Gets Racist""",John Fortenberry,Charlie Day & Rob McElhenney,2005/08/04,"Charlie and Mac try to prove that they are not racist after Charlie's crush overhears Charlie saying something offensive about African Americans. Meanwhile, Dee hires a black man from her acting class to boost business for Paddy's Pub—and ends up turning the pub into a gay bar."
1,2,"""Charlie Wants an Abortion""",John Fortenberry,Charlie Day & Rob McElhenney,2005/08/11,"Charlie gets a paternity test to prove that he's not the father of his old flame's ill-behaved son. Meanwhile, Mac and Dennis feign being against abortion so they can pick up women."
1,3,"""Underage Drinking: A National Concern""",Dan Attias,Rob McElhenney,2005/08/16,"When Mac decides to make Paddy's Pub a safe haven for underage drinkers, it becomes high school all over again as Dee, Dennis, and Charlie get asked to the prom."
1,4,"""Charlie Has Cancer""",Rob McElhenney,Rob McElhenney,2005/08/23,Dennis and Mac help Charlie find someone to sleep with him after Charlie announces that he's dying of cancer.
1,5,"""Gun Fever""",Dan Attias,Glenn Howerton,2005/08/30,"Everyone gets trigger happy when, in the wake of a robbery, the guys buy a gun, and Dee unknowingly dates the prime suspect."
1,6,"""The Gang Finds a Dead Guy""",Dan Attias,Rob McElhenney,2005/09/06,"When an old man is found dead in Paddy's, Mac and Dennis vie for the affection of his attractive granddaughter, while Charlie discovers that Dennis and Dee's grandfather was a Nazi."
1,7,"""Charlie Got Molested""",John Fortenberry,Rob McElhenney,2005/09/13,"When news of a former gym teacher getting arrested for molesting his students hits, Charlie suddenly gets nervous, Dee and Dennis conclude that Charlie may have been one of the gym teacher's victims. Mac becomes jealous that he wasn't the one who got molested."
2,1,"""Charlie Gets Crippled""",John Fortenberry,Rob McElhenney,2006/06/29,"Dennis and Dee's father Frank abruptly appears, causing Dennis to accidentally run Charlie over with his car. After seeing Charlie get attention from strippers over being in a wheelchair, the gang decides to feign disabilities in order to garner sympathy from others."
2,2,"""The Gang Goes Jihad""",Dan Attias,Rob McElhenney,2006/06/29,"An Israeli businessman claims ownership of the street that Paddy's Pub is on, prompting the gang to go to extremes to get the man to leave. Meanwhile, Frank fights with his ex-wife over the possessions she got in the divorce."
2,3,"""The Gang Gives Back""",Dan Attias,Charlie Day,2006/07/20,"Mac, Dennis and Dee are sentenced to teach inner-city children how to play basketball while Charlie is sentenced to attend AA meetings."
